,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,LTM
"Капитализация, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.0,0.0,0.0,7.15,12.5,12.2,22.5,23.0,52.8,52.9
"EV, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,2.34,4.23,4.34,10.3,13.2,16.4,26.5,29.1,52.8,60.9
"Баланс стоимость, млрд руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.22,-0.18,-1.52,2.37,3.51,6.0,9.02,11.3,0.0,15.0
"EPS, руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,5.7,-5.12,-23.4,8.77,4.73,26.5,37.1,35.5,0.0,94.7
"FCF/акцию, руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.5
"BV/акцию, руб",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,2.82,-2.26,-19.1,29.8,44.2,68.3,102.6,128.5,0.0,170.8
"Рентаб EBITDA, %",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.05,0.049,-0.077,0.61,0.41,0.303,0.39,0.405,,0.386
"Чистая рентаб, %",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.025,-0.021,-2.151,0.282,0.075,0.726,0.37,0.374,,0.653
"Доходность FCF, %",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.026000000000000002
"ROE, %",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,2.022,2.261,1.225,0.295,0.107,0.38799999999999996,0.359,0.266,,0.537
"ROA, %",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,-0.22,0.11699999999999999,0.067,0.213,0.23199999999999998,0.158,,0.32799999999999996
P/E,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.0,0.0,0.0,10.2,33.2,5.24,6.89,7.37,,6.35
P/S,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.0,0.0,0.0,2.89,2.49,3.8,2.55,2.76,,4.15
P/BV,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.0,0.0,0.0,3.02,3.55,2.03,2.49,2.04,,3.52
EV/EBITDA,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,2.57,4.47,-64.8,6.83,6.42,16.9,7.72,8.6,,12.4
Долг/EBITDA,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,2.57,4.47,-64.8,2.1,0.36,4.31,1.18,1.8,,1.64
"Персонал, чел",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,450.0,,
"Производительность труда, млн руб/чел/год",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,18.5,,
"Расходы/чел/год, тыс.р",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,1689.0,,
"R&D/CAPEX, %",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0
"CAPEX/Выручка, %",Inarctica (Русская Аквакультура),,,,,,,,,,,,,,0.0,0.0,0.0,0.06,0.11,0.4,0.29,0.22,,0.21
IR рейтинг,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,,,4.1
Качество фин.отчетности,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,,,4.0
Презентации для инвесторов,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,,,5.0
Присутствие на смартлабе,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,,,4.0
Годовой отчет,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,,,5.0
Сайт для инвесторов,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,,,5.0
Календарь инвесторов,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,,,1.0
Обратная связь,Inarctica (Русская Аквакультура),,,,,,,,,,,,,,,,,,,,,,,5.0
Дата отчета,Ozon,,,,,,,,,,,,,,,,,,,19.11.2020,19.11.2020,30.03.2021,04.05.2022,15.11.2022
Валюта отчета,Ozon,,,,,,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Торговый оборот GMV, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,,80.8,197.4,448.3,711.2
"Доля маркетплейса в продажах, %",Ozon,,,,,,,,,,,,,,,,,,,,17%,48%,65%,73%
"Количество заказов, млн",Ozon,,,,,,,,,,,,,,,,,,,,32.0,74.0,220.0,380.5
"Выручка, млрд руб",Ozon,,,,,,,,,,,,,,,,13.7,16.5,24.0,37.2,60.1,104.4,178.2,249.8
"Операционная прибыль, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,-5.87,-18.6,-17.3,-58.9,-62.8
"EBITDA, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,-5.3,-15.8,-11.7,-41.2,-23.1
"Чистая прибыль, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,-5.66,-19.4,-22.3,-56.8,-67.9
"Операционный денежный поток, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,-3.6,-14.3,6.57,-13.6,-12.0
"CAPEX, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,2.57,4.77,6.84,19.3,36.6
"FCF, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,-6.2,-19.9,-2.6,-37.7,-57.3
"Див доход, ао, %",Ozon,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
"Дивиденды/прибыль, %",Ozon,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
"Опер. расходы, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,15.4,29.9,48.8,124.5,190.3
"Себестоимость, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,27.7,48.8,72.9,112.5,122.2
"Расх на персонал, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,6.84,11.1,15.8,33.9,
"Процентные расходы, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,0.058,0.876,1.36,4.49,7.0
"Активы, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,18.1,38.7,154.6,241.3,213.6
"Чистые активы, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,3.24,0.817,79.2,30.6,-8.16
"Долг, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,0.0,16.7,24.9,62.1,60.6
"Наличность, млрд руб",Ozon,,,,,,,,,,,,,,,,,,,6.0,3.0,103.7,126.0,65.6
"Чистый долг, млрд руб",Ozon,,,,,,,,,,,,,,,,0.0,0.0,0.0,-6.0,13.7,-78.8,-63.9,-5.03
"Цена акции ао, руб",Ozon,,,,,,,,,,,,,,,,,,,,2090.0,3297.0,2279.0,1017.0
"Число акций ао, млн",Ozon,,,,,,,,,,,,,,,,,,,,137.5,203.7,203.7,203.7
"Free Float, %",Ozon,,,,,,,,,,,,,,,,,,,,,0.182,,
"Капитализация, млрд руб",Ozon,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,287.3,671.6,464.3,207.2
"EV, млрд руб",Ozon,,,,,,,,,,,,,,,,0.0,0.0,0.0,-6.0,301.0,592.8,400.4,202.2
"Баланс стоимость, млрд руб",Ozon,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.24,0.69,78.9,29.4,-8.86
"EPS, руб",Ozon,,,,,,,,,,,,,,,,,,,,-140.8,-109.3,-278.8,-333.2
"FCF/акцию, руб",Ozon,,,,,,,,,,,,,,,,,,,,-145.1,-12.8,-185.0,-281.3
"BV/акцию, руб",Ozon,,,,,,,,,,,,,,,,,,,,5.0,387.4,144.5,-43.5
"Рентаб EBITDA, %",Ozon,,,,,,,,,,,,,,,,0.0,0.0,0.0,-0.142,-0.263,-0.11199999999999999,-0.231,-0.092
"Чистая рентаб, %",Ozon,,,,,,,,,,,,,,,,0.0,0.0,0.0,-0.152,-0.322,-0.213,-0.319,-0.272
"Доходность FCF, %",Ozon,,,,,,,,,,,,,,,,,,,,-0.069,-0.004,-0.081,-0.27699999999999997
"ROE, %",Ozon,,,,,,,,,,,,,,,,,,,-1.749,-23.7,-0.281,-1.8559999999999999,8.318999999999999
"ROA, %",Ozon,,,,,,,,,,,,,,,,,,,-0.313,-0.5,-0.14400000000000002,-0.235,-0.318
P/E,Ozon,,,,,,,,,,,,,,,,,,,0.0,-14.8,-30.2,-8.17,-3.05
P/S,Ozon,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4.78,6.44,2.61,0.83
P/BV,Ozon,,,,,,,,,,,,,,,,,,,0.0,418.2,8.51,15.8,-23.4
EV/EBITDA,Ozon,,,,,,,,,,,,,,,,,,,1.13,-19.0,-50.7,-9.72,-8.76
Долг/EBITDA,Ozon,,,,,,,,,,,,,,,,,,,1.13,-0.87,6.73,1.55,0.22
"Персонал, чел",Ozon,,,,,,,,,,,,,,,,,,,,13432.0,14834.0,,
"Производительность труда, млн руб/чел/год",Ozon,,,,,,,,,,,,,,,,,,,,4.47,7.03,,
"Расходы/чел/год, тыс.р",Ozon,,,,,,,,,,,,,,,,,,,,825.4,1063.0,,
"R&D/CAPEX, %",Ozon,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
"CAPEX/Выручка, %",Ozon,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.07,0.08,0.07,0.11,0.15
IR рейтинг,Ozon,,,,,,,,,,,,,,,,,,,,,,,3.0
Качество фин.отчетности,Ozon,,,,,,,,,,,,,,,,,,,,,,,4.0
Презентации для инвесторов,Ozon,,,,,,,,,,,,,,,,,,,,,,,4.0
Присутствие на смартлабе,Ozon,,,,,,,,,,,,,,,,,,,,,,,1.0
Годовой отчет,Ozon,,,,,,,,,,,,,,,,,,,,,,,3.0
Сайт для инвесторов,Ozon,,,,,,,,,,,,,,,,,,,,,,,3.0
Календарь инвесторов,Ozon,,,,,,,,,,,,,,,,,,,,,,,5.0
Обратная связь,Ozon,,,,,,,,,,,,,,,,,,,,,,,1.0
Дата отчета,Softline,,,,,,,,,,,,,,,,,,,09.12.2021,09.12.2021,09.12.2021,24.06.2022,16.08.2022
Валюта отчета,Softline,,,,,,,,,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB
"Выручка, млрд руб",Softline,,,,,,,,,,,,,,,,,,,64.9,84.7,112.1,148.8,115.9
"Операционная прибыль, млрд руб",Softline,,,,,,,,,,,,,,,,,,,1.13,1.84,1.86,3.22,-424.3
"EBITDA, млрд руб",Softline,,,,,,,,,,,,,,,,,,,1.63,2.6,3.86,5.41,4.24
"Чистая прибыль, млрд руб",Softline,,,,,,,,,,,,,,,,,,,0.02,0.63,-0.16,1.44,0.92
"Операционный денежный поток, млрд руб",Softline,,,,,,,,,,,,,,,,,,,2.01,2.94,2.9,2.27,0.977
"CAPEX, млрд руб",Softline,,,,,,,,,,,,,,,,,,,0.49,0.5,2.87,4.61,3.87
"FCF, млрд руб",Softline,,,,,,,,,,,,,,,,,,,-0.32,1.27,-1.59,-4.03,
"Див доход, ао, %",Softline,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
"Дивиденды/прибыль, %",Softline,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
"Опер. расходы, млрд руб",Softline,,,,,,,,,,,,,,,,,,,,,,,22.3
"Себестоимость, млрд руб",Softline,,,,,,,,,,,,,,,,,,,53.2,70.9,95.7,125.3,97.0
"Процентные расходы, млрд руб",Softline,,,,,,,,,,,,,,,,,,,0.69,1.0,1.11,1.26,
"Активы, млрд руб",Softline,,,,,,,,,,,,,,,,,,,19.8,24.6,47.8,90.7,
"Чистые активы, млрд руб",Softline,,,,,,,,,,,,,,,,,,,1.8,3.0,7.55,36.9,
"Долг, млрд руб",Softline,,,,,,,,,,,,,,,,,,,6.3,5.8,14.0,12.8,
"Наличность, млрд руб",Softline,,,,,,,,,,,,,,,,,,,2.5,3.4,6.78,28.2,
"Чистый долг, млрд руб",Softline,,,,,,,,,,,,,,,,,,,3.8,2.4,7.2,-15.4,0.0
"Цена акции ао, руб",Softline,,,,,,,,,,,,,,,,,,,500.0,500.0,501.0,516.5,93.4
"Число акций ао, млн",Softline,,,,,,,,,,,,,,,,,,,183.7,183.7,183.7,200.1,200.1
"Free Float, %",Softline,,,,,,,,,,,,,,,,,,,0.0,0.0,0.31,,
"Капитализация, млрд руб",Softline,,,,,,,,,,,,,,,,,,,91.8,91.8,92.0,103.3,18.7
"EV, млрд руб",Softline,,,,,,,,,,,,,,,,,,,95.6,94.2,99.2,87.9,18.7
"Баланс стоимость, млрд руб",Softline,,,,,,,,,,,,,,,,,,,-1.1,0.5,0.84,21.0,0.0
"EPS, руб",Softline,,,,,,,,,,,,,,,,,,,0.11,3.43,-0.87,7.2,4.6
"FCF/акцию, руб",Softline,,,,,,,,,,,,,,,,,,,-1.74,6.91,-8.66,-20.1,0.0
"BV/акцию, руб",Softline,,,,,,,,,,,,,,,,,,,-5.99,2.72,4.57,104.9,0.0
"Рентаб EBITDA, %",Softline,,,,,,,,,,,,,,,,,,,0.025,0.031,0.034,0.036000000000000004,0.037000000000000005
"Чистая рентаб, %",Softline,,,,,,,,,,,,,,,,,,,0.0,0.006999999999999999,-0.001,0.01,0.008
"Доходность FCF, %",Softline,,,,,,,,,,,,,,,,,,,-0.003,0.013999999999999999,-0.017,-0.039,0.0
"ROE, %",Softline,,,,,,,,,,,,,,,,,,,0.011000000000000001,0.21,-0.021,0.039,
"ROA, %",Softline,,,,,,,,,,,,,,,,,,,0.001,0.026000000000000002,-0.003,0.016,
P/E,Softline,,,,,,,,,,,,,,,,,,,4592.0,145.8,-575.2,71.8,20.3
P/S,Softline,,,,,,,,,,,,,,,,,,,1.42,1.08,0.82,0.69,0.16
P/BV,Softline,,,,,,,,,,,,,,,,,,,-83.5,183.7,109.6,4.92,
EV/EBITDA,Softline,,,,,,,,,,,,,,,,,,,58.7,36.2,25.7,16.3,4.41
Долг/EBITDA,Softline,,,,,,,,,,,,,,,,,,,2.33,0.92,1.87,-2.85,0.0
"R&D/CAPEX, %",Softline,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
"CAPEX/Выручка, %",Softline,,,,,,,,,,,,,,,,,,,0.01,0.01,0.03,0.03,0.03
Дата отчета,VK (Mail),,,,,,,,,,,,,,,,,24.10.2019,01.03.2019,01.03.2019,26.02.2020,04.03.2021,03.03.2022,10.11.2022
Валюта отчета,VK (Mail),,,,,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Выручка, млрд руб",VK (Mail),,,,,,,,,,,,,,,32.7,36.3,42.8,57.5,66.1,96.2,100.5,126.1,132.4
"Операционная прибыль, млрд руб",VK (Mail),,,,,,,,,,,,,,,,,,,,,,29.4,35.0
"EBITDA, млрд руб",VK (Mail),,,,,,,,,,,,,,,16.9,18.1,18.7,20.6,27.1,28.1,19.3,29.5,26.1
"Чистая прибыль, млрд руб",VK (Mail),,,,,,,,,,,,,,,11.5,9.92,11.6,14.2,15.1,18.7,-20.9,-15.5,-16.1
"Чистая прибыль н/с, млрд руб",VK (Mail),,,,,,,,,,,,,,,,,11.8,2.26,-8.06,18.9,,,-10.1
"Операционный денежный поток, млрд руб",VK (Mail),,,,,,,,,,,,,,,,,12.6,19.3,12.5,12.9,23.0,20.9,11.1
"CAPEX, млрд руб",VK (Mail),,,,,,,,,,,,,,,,,3.83,4.38,6.65,8.39,11.1,15.1,17.7
"FCF, млрд руб",VK (Mail),,,,,,,,,,,,,,,,,,,,,7.9,2.9,-12.2
"Див доход, ао, %",VK (Mail),,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Дивиденды/прибыль, %",VK (Mail),,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Опер. расходы, млрд руб",VK (Mail),,,,,,,,,,,,,,,,,25.9,39.3,62.6,68.0,81.3,96.6,103.7
"Расх на персонал, млрд руб",VK (Mail),,,,,,,,,,,,,,,,,10.7,13.1,22.7,21.5,27.0,34.9,38.3
"Процентные расходы, млрд руб",VK (Mail),,,,,,,,,,,,,,,,,0.0,0.0,0.013,1.46,2.6,3.0,4.83
"Активы, млрд руб",VK (Mail),,,,,,,,,,,,,,,,,185.0,191.6,204.8,255.0,291.0,297.9,288.6
"Чистые активы, млрд руб",VK (Mail),,,,,,,,,,,,,,,,,163.4,166.1,164.7,184.7,180.0,169.9,161.7
"Долг, млрд руб",VK (Mail),,,,,,,,,,,,,,,,,0.12,0.0,0.0,23.5,45.2,57.9,63.6
"Наличность, млрд руб",VK (Mail),,,,,,,,,,,,,,,,,5.39,15.4,11.7,9.78,39.3,23.7,14.7
"Чистый долг, млрд руб",VK (Mail),,,,,,,,,,,,,,,0.0,0.0,-5.27,-15.4,-11.7,13.7,5.9,34.1,48.9
"Цена акции ао, руб",VK (Mail),,,,,,,,,,,,,,,,,1121.0,1666.0,1624.0,1381.0,1983.0,869.0,444.0
"Число акций ао, млн",VK (Mail),,,,,,,,,,,,,,,,,208.6,208.6,208.6,208.6,226.1,226.1,226.1
"Free Float, %",VK (Mail),,,,,,,,,,,,,,,,,,,,,0.53,,
"Капитализация, млрд руб",VK (Mail),,,,,,,,,,,,,,,0.0,0.0,233.8,347.5,338.8,288.1,448.4,196.5,100.4
"EV, млрд руб",VK (Mail),,,,,,,,,,,,,,,0.0,0.0,228.6,332.2,327.0,301.8,454.3,230.7,149.3
"Баланс стоимость, млрд руб",VK (Mail),,,,,,,,,,,,,,,0.0,0.0,1.16,8.03,3.51,24.5,24.7,13.0,-10.2
"EPS, руб",VK (Mail),,,,,,,,,,,,,,,,,55.7,68.3,72.3,89.6,-92.4,-68.5,-71.4
"FCF/акцию, руб",VK (Mail),,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,34.9,12.8,-53.8
"BV/акцию, руб",VK (Mail),,,,,,,,,,,,,,,,,5.56,38.5,16.8,117.3,109.2,57.4,-45.1
"Рентаб EBITDA, %",VK (Mail),,,,,,,,,,,,,,,0.515,0.499,0.43700000000000006,0.358,0.41100000000000003,0.292,0.192,0.23399999999999999,0.19699999999999998
"Чистая рентаб, %",VK (Mail),,,,,,,,,,,,,,,0.35100000000000003,0.273,0.272,0.248,0.228,0.19399999999999998,-0.20800000000000002,-0.12300000000000001,-0.122
"Доходность FCF, %",VK (Mail),,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.018000000000000002,0.015,-0.121
"ROE, %",VK (Mail),,,,,,,,,,,,,,,,,0.071,0.086,0.092,0.10099999999999999,-0.11599999999999999,-0.091,-0.1
"ROA, %",VK (Mail),,,,,,,,,,,,,,,,,0.063,0.07400000000000001,0.07400000000000001,0.073,-0.07200000000000001,-0.052000000000000005,-0.055999999999999994
P/E,VK (Mail),,,,,,,,,,,,,,,0.0,0.0,20.1,24.4,22.5,15.4,-21.5,-12.7,-6.22
P/S,VK (Mail),,,,,,,,,,,,,,,0.0,0.0,5.47,6.05,5.12,2.99,4.46,1.56,0.76
P/BV,VK (Mail),,,,,,,,,,,,,,,,,201.6,43.3,96.5,11.8,18.2,15.1,-9.85
EV/EBITDA,VK (Mail),,,,,,,,,,,,,,,0.0,0.0,12.2,16.2,12.1,10.8,23.5,7.83,5.71
Долг/EBITDA,VK (Mail),,,,,,,,,,,,,,,0.0,0.0,-0.28,-0.75,-0.43,0.49,0.31,1.16,1.87
"Персонал, чел",VK (Mail),,,,,,,,,,,,,,,,3122.0,,,,6334.0,8842.0,10392.0,
"Производительность труда, млн руб/чел/год",VK (Mail),,,,,,,,,,,,,,,,11.6,,,,15.2,11.4,12.1,
"Расходы/чел/год, тыс.р",VK (Mail),,,,,,,,,,,,,,,,0.0,,,,3395.0,3054.0,3355.0,
"R&D/CAPEX, %",VK (Mail),,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CAPEX/Выручка, %",VK (Mail),,,,,,,,,,,,,,,0.0,0.0,0.09,0.08,0.1,0.09,0.11,0.12,0.13
Дата отчета,X5 Retail Group,,,,,,,,,,,,,,03.07.2018,03.07.2018,03.07.2018,03.07.2018,29.03.2018,20.03.2019,19.03.2020,19.03.2021,17.03.2022,25.10.2022
Валюта отчета,X5 Retail Group,,,,,,,,,,,,,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB,RUB
"Число магазинов, шт",X5 Retail Group,,,,,,,,,,,,,3802.0,4544.0,5483.0,7020.0,9187.0,12121.0,14431.0,16297.0,17707.0,19121.0,20227.0
"Открыто новых магазинов, шт",X5 Retail Group,,,,,,,,,,,,,,742.0,939.0,1537.0,2167.0,2934.0,2310.0,1866.0,1410.0,1414.0,1579.0
"Общ. площадь магазинов, тыс. м2",X5 Retail Group,,,,,,,,,,,,,1970.0,2223.0,2572.0,3333.0,4302.0,5480.0,6464.0,7239.0,7840.0,8410.0,8755.0
"Сопоставимые продажи, LFL, %",X5 Retail Group,,,,,,,,,,,,,,,,0.13699999999999998,0.077,0.054000000000000006,0.015,0.04,0.055,0.051,0.124
"Трафик, %",X5 Retail Group,,,,,,,,,,,,,,,,,0.025,0.03,0.009000000000000001,0.02,-0.06,0.015,0.039
"Средний чек, %",X5 Retail Group,,,,,,,,,,,,,,,,,0.05,0.023,0.006,0.019,0.122,0.035,0.08199999999999999
"Средний чек, руб",X5 Retail Group,,,,,,,,,,,,,,,,372.0,381.0,382.0,381.0,385.0,425.0,438.0,445.0
"Торговый оборот GMV, млрд руб",X5 Retail Group,,,,,,,,,,,,,,,,,,,4.3,20.1,20.0,47.9,70.1
"Количество заказов, млн",X5 Retail Group,,,,,,,,,,,,,,,,,,,2.0,8.0,15.0,51.0,64.0
"Выручка, млрд руб",X5 Retail Group,,,,,,,,,,,,,491.1,534.6,633.9,808.8,1034.0,1295.0,1533.0,1734.0,1978.0,2205.0,2508.0
"Операционная прибыль, млрд руб",X5 Retail Group,,,,,,,,,,,,,,,,,45.6,57.8,58.2,60.3,76.8,84.4,102.8
"EBITDA, млрд руб",X5 Retail Group,,,,,,,,,,,,,35.1,38.4,46.4,59.4,79.5,99.1,109.9,122.6,145.1,161.0,191.1
"Чистая прибыль, млрд руб",X5 Retail Group,,,,,,,,,,,,,,11.0,12.7,14.2,22.3,33.8,28.6,29.7,35.8,44.6,54.3
"Чистая прибыль н/с, млрд руб",X5 Retail Group,,,,,,,,,,,,,,,,,,31.4,28.6,25.9,39.2,48.5,55.9
"Операционный денежный поток, млрд руб",X5 Retail Group,,,,,,,,,,,,,,,,,74.9,58.7,98.0,80.4,102.0,163.7,177.2
"CAPEX, млрд руб",X5 Retail Group,,,,,,,,,,,,,29.2,22.6,34.3,71.1,80.7,98.6,83.7,81.2,89.9,97.9,74.2
"FCF, млрд руб",X5 Retail Group,,,,,,,,,,,,,,,,,,-28.8,5.48,0.037,17.8,74.3,20.2
"Див.выплата, млрд руб",X5 Retail Group,,,,,,,,,,,,,,,,0.0,0.0,21.6,25.0,30.0,50.0,,
"Дивиденд, руб/акцию",X5 Retail Group,,,,,,,,,,,,,,,,0.0,0.0,79.5,92.06,110.47,184.13,,
"Див доход, ао, %",X5 Retail Group,,,,,,,,,,,,,,,,,0.0,0.037000000000000005,0.053,0.052000000000000005,0.067,0.0,0.0
"Дивиденды/прибыль, %",X5 Retail Group,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.64,0.87,1.01,1.4,0.0,0.0
"Опер. расходы, млрд руб",X5 Retail Group,,,,,,,,,,,,,,,,,204.4,251.2,311.6,365.6,410.4,469.0,513.4
"Себестоимость, млрд руб",X5 Retail Group,,,,,,,,,,,,,,,,,783.7,986.1,1163.0,1308.0,1490.0,1651.0,1889.0
"Расх на персонал, млрд руб",X5 Retail Group,,,,,,,,,,,,,,,,78.3,92.9,114.8,119.9,141.1,159.3,185.6,202.2
"Процентные расходы, млрд руб",X5 Retail Group,,,,,,,,,,,,,,,,16.6,17.2,15.1,18.7,55.7,55.5,56.6,
"Активы, млрд руб",X5 Retail Group,,,,,,,,,,,,,,,,402.1,473.5,565.3,610.8,1074.0,1173.0,1287.0,
"Чистые активы, млрд руб",X5 Retail Group,,,,,,,,,,,,,,77.8,90.6,104.7,127.0,158.4,165.5,116.6,94.8,87.6,
"Долг, млрд руб",X5 Retail Group,,,,,,,,,,,,,,110.5,131.0,144.2,156.0,194.3,207.8,228.0,262.0,294.3,209.0
"Наличность, млрд руб",X5 Retail Group,,,,,,,,,,,,,,7.61,25.6,8.96,18.2,27.6,24.4,18.6,20.0,27.0,39.7
"Чистый долг, млрд руб",X5 Retail Group,,,,,,,,,,,,,0.0,102.9,105.4,135.3,137.8,166.7,183.4,209.4,242.0,267.3,169.3
"Цена акции ао, руб",X5 Retail Group,,,,,,,,,,,,,,,,,1820.0,2178.0,1725.0,2135.0,2753.0,1953.0,1563.0
"Число акций ао, млн",X5 Retail Group,,,,,,,,,,,,,67.9,67.9,67.9,67.9,271.6,271.6,271.6,271.6,271.6,271.6,271.6
"Free Float, %",X5 Retail Group,,,,,,,,,,,,,,,,,,0.36,,0.406,,,
"Капитализация, млрд руб",X5 Retail Group,,,,,,,,,,,,,0.0,0.0,0.0,0.0,494.3,591.5,468.5,579.7,747.6,530.2,424.3
"EV, млрд руб",X5 Retail Group,,,,,,,,,,,,,0.0,102.9,105.4,135.3,632.1,758.2,651.9,789.1,989.6,797.6,593.6
"Баланс стоимость, млрд руб",X5 Retail Group,,,,,,,,,,,,,0.0,77.8,90.6,29.4,46.7,68.1,70.8,14.6,-10.1,-17.4,0.0
"EPS, руб",X5 Retail Group,,,,,,,,,,,,,0.0,161.8,187.0,208.8,82.1,124.3,105.5,109.2,131.9,164.3,200.0
"FCF/акцию, руб",X5 Retail Group,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-106.2,20.2,0.14,65.7,273.5,74.5
"BV/акцию, руб",X5 Retail Group,,,,,,,,,,,,,0.0,1146.0,1334.0,433.2,171.9,250.9,260.9,53.9,-37.0,-64.0,0.0
"Рентаб EBITDA, %",X5 Retail Group,,,,,,,,,,,,,0.071,0.07200000000000001,0.073,0.073,0.077,0.077,0.07200000000000001,0.071,0.073,0.073,0.076
"Чистая рентаб, %",X5 Retail Group,,,,,,,,,,,,,0.0,0.021,0.02,0.018000000000000002,0.022000000000000002,0.026000000000000002,0.019,0.017,0.018000000000000002,0.02,0.022000000000000002
"Доходность FCF, %",X5 Retail Group,,,,,,,,,,,,,,,,,0.0,-0.049,0.012,0.0,0.024,0.14,0.048
"ROE, %",X5 Retail Group,,,,,,,,,,,,,,0.141,0.14,0.135,0.175,0.213,0.17300000000000001,0.255,0.37799999999999995,0.509,
"ROA, %",X5 Retail Group,,,,,,,,,,,,,,,,0.035,0.047,0.06,0.047,0.027999999999999997,0.031,0.035,
P/E,X5 Retail Group,,,,,,,,,,,,,,0.0,0.0,0.0,22.2,17.5,16.4,19.5,20.9,11.9,7.81
P/S,X5 Retail Group,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.48,0.46,0.31,0.33,0.38,0.24,0.17
P/BV,X5 Retail Group,,,,,,,,,,,,,,0.0,0.0,0.0,10.6,8.68,6.61,39.6,-74.4,-30.5,
EV/EBITDA,X5 Retail Group,,,,,,,,,,,,,0.0,2.68,2.27,2.28,7.95,7.65,5.93,6.44,6.82,4.95,3.11
Долг/EBITDA,X5 Retail Group,,,,,,,,,,,,,0.0,2.68,2.27,2.28,1.73,1.68,1.67,1.71,1.67,1.66,0.89
